sales_id,client_id,product_id,crop_id,month,profit,cost,sales,volume,source,presentation,year
1,13,17,1,1,157763,154912,307500,5000,Ventas 2023,1X200,2023
2,13,17,1,5,362762,371788,738000,12000,Ventas 2023,1X200,2023
3,13,17,1,6,181381,185894,369000,6000,Ventas 2023,1X200,2023
4,16,1,1,6,290866,48134,339001,588,Ventas 2023,12X1,2023
5,54,1,1,4,340804,27212,368016,408,Ventas 2023,12X1,2023
6,13,17,1,5,120719,140000,127920,2000,Ventas 2023,1X200,2023
7,16,17,1,5,-136299,-140000,-143500,-2000,Ventas 2023,1X200,2023
8,13,9,1,6,-532993,-8207,-541200,-12,Ventas 2023,12X1,2023
9,13,9,1,6,268480,285020,553500,600,Ventas 2023,4X5,2023
10,13,9,5,1,3356001,3562749,6918750,7500,Ventas 2023,4X5,2023
11,16,1,1,6,1306459,131616,1438075,2300,Ventas 2023,1X20,2023
12,13,1,1,6,558299,51472,606698,1000,Ventas 2023,1X200,2023
13,13,1,8,1,296529,27177,324720,528,Ventas 2023,1X200,2023
14,13,1,57,1,296529,27177,324720,528,Ventas 2023,1X200,2023
15,13,1,16,1,305515,28001,334560,544,Ventas 2023,1X200,2023
16,13,6,1,1,291105,151218,420250,5000,Ventas 2023,1X200,2023
17,13,6,1,6,300766,181461,504300,6000,Ventas 2023,1X200,2023
18,16,1,1,6,80266,15674,95940,72,Ventas 2023,48X250,2023
19,54,1,1,4,204566,21754,226320,240,Ventas 2023,48X250,2023
20,13,2,57,5,263822,33428,297250,1000,Ventas 2023,1X200,2023
21,13,2,19,5,263822,33428,297250,1000,Ventas 2023,1X200,2023
22,16,1,1,6,302373,35262,337635,540,Ventas 2023,4X5,2023
23,22,1,22,3,6153,1262,7415,12,Ventas 2023,12X1,2023
24,16,9,36,2,28300,74651,102951,108,Ventas 2023,12X1,2023
25,24,1,9,2,15527,3112,19375,36,Ventas 2023,12X1,2023
26,24,1,9,5,17742,3527,21122,41,Ventas 2023,12X1,2023
27,24,1,10,5,70970,14107,84488,163,Ventas 2023,12X1,2023
28,16,3,1,6,91010,198778,289788,2280,Ventas 2023,12X1,2023
